Date,Type,Category,Value
2025-02-08,Exchange Rate,USD to PKR,279.053806
2025-02-08,Inflation,CPI Inflation,30.7681280657005
2025-02-08,Gold,24K  - 1 Tola Gold Rate in Pakistan,Rs. 299700.00
2025-02-08,Gold,24K (10 Gram) Gold Price in Pakistan,Rs. 256948.9
2025-02-08,Gold,24K  Gold  Rate 1 Gram,Rs. 25694.89
2025-02-08,Exchange Rate,USD to PKR,279.074605
2025-02-08,Inflation,CPI Inflation,30.7681280657005
2025-02-08,Gold,24K  - 1 Tola Gold Rate in Pakistan,Rs. 299700.00
2025-02-08,Gold,24K (10 Gram) Gold Price in Pakistan,Rs. 256948.9
2025-02-08,Gold,24K  Gold  Rate 1 Gram,Rs. 25694.89
2025-02-09,Exchange Rate,USD to PKR,278.955012
2025-02-09,Inflation,CPI Inflation,30.7681280657005
2025-02-09,Gold,24K  - 1 Tola Gold Rate in Pakistan,Rs. 299700.00
2025-02-09,Gold,24K (10 Gram) Gold Price in Pakistan,Rs. 256948.9
2025-02-09,Gold,24K  Gold  Rate 1 Gram,Rs. 25694.89
2025-02-10,Exchange Rate,USD to PKR,279.779497
2025-02-10,Inflation,CPI Inflation,30.7681280657005
2025-02-10,Gold,24K  - 1 Tola Gold Rate in Pakistan,Rs. 299700.00
2025-02-10,Gold,24K (10 Gram) Gold Price in Pakistan,Rs. 256948.9
2025-02-10,Gold,24K  Gold  Rate 1 Gram,Rs. 25694.89
2025-02-11,Exchange Rate,USD to PKR,279.415198
2025-02-11,Inflation,CPI Inflation,30.7681280657005
2025-02-11,Gold,24K  - 1 Tola Gold Rate in Pakistan,Rs. 299700.00
2025-02-11,Gold,24K (10 Gram) Gold Price in Pakistan,Rs. 256948.9
2025-02-11,Gold,24K  Gold  Rate 1 Gram,Rs. 25694.89
2025-02-12,Exchange Rate,USD to PKR,279.115269
2025-02-12,Inflation,CPI Inflation,30.7681280657005
2025-02-12,Gold,24K  - 1 Tola Gold Rate in Pakistan,Rs. 299700.00
2025-02-12,Gold,24K (10 Gram) Gold Price in Pakistan,Rs. 256948.9
2025-02-12,Gold,24K  Gold  Rate 1 Gram,Rs. 25694.89
2025-02-13,Exchange Rate,USD to PKR,278.890805
2025-02-13,Inflation,CPI Inflation,30.7681280657005
2025-02-13,Gold,24K  - 1 Tola Gold Rate in Pakistan,Rs. 300700.00
2025-02-13,Gold,24K (10 Gram) Gold Price in Pakistan,Rs. 257806.2
2025-02-13,Gold,24K  Gold  Rate 1 Gram,Rs. 25780.62
2025-02-14,Exchange Rate,USD to PKR,278.583835
2025-02-14,Inflation,CPI Inflation,30.7681280657005
2025-02-14,Gold,24K  - 1 Tola Gold Rate in Pakistan,Rs. 300700.00
2025-02-14,Gold,24K (10 Gram) Gold Price in Pakistan,Rs. 257806.2
2025-02-14,Gold,24K  Gold  Rate 1 Gram,Rs. 25780.62
2025-02-15,Exchange Rate,USD to PKR,279.374528
2025-02-15,Inflation,CPI Inflation,30.7681280657005
2025-02-15,Gold,24K  - 1 Tola Gold Rate in Pakistan,Rs. 300700.00
2025-02-15,Gold,24K (10 Gram) Gold Price in Pakistan,Rs. 257806.2
2025-02-15,Gold,24K  Gold  Rate 1 Gram,Rs. 25780.62
2025-02-16,Exchange Rate,USD to PKR,279.188209
2025-02-16,Inflation,CPI Inflation,30.7681280657005
2025-02-16,Gold,24K  - 1 Tola Gold Rate in Pakistan,Rs. 300700.00
2025-02-16,Gold,24K (10 Gram) Gold Price in Pakistan,Rs. 257806.2
2025-02-16,Gold,24K  Gold  Rate 1 Gram,Rs. 25780.62
2025-02-17,Exchange Rate,USD to PKR,278.667837
2025-02-17,Inflation,CPI Inflation,30.7681280657005
2025-02-17,Gold,24K  - 1 Tola Gold Rate in Pakistan,Rs. 300700.00
2025-02-17,Gold,24K (10 Gram) Gold Price in Pakistan,Rs. 257806.2
2025-02-17,Gold,24K  Gold  Rate 1 Gram,Rs. 25780.62
2025-02-18,Exchange Rate,USD to PKR,279.057050
2025-02-18,Inflation,CPI Inflation,30.7681280657005
2025-02-18,Gold,24K  - 1 Tola Gold Rate in Pakistan,Rs. 300700.00
2025-02-18,Gold,24K (10 Gram) Gold Price in Pakistan,Rs. 257806.2
2025-02-18,Gold,24K  Gold  Rate 1 Gram,Rs. 25780.62
2025-02-19,Exchange Rate,USD to PKR,279.398740
2025-02-19,Inflation,CPI Inflation,30.7681280657005
2025-02-19,Gold,24K  - 1 Tola Gold Rate in Pakistan,Rs. 300700.00
2025-02-19,Gold,24K (10 Gram) Gold Price in Pakistan,Rs. 257806.2
2025-02-19,Gold,24K  Gold  Rate 1 Gram,Rs. 25780.62
2025-02-20,Exchange Rate,USD to PKR,279.440924
2025-02-20,Inflation,CPI Inflation,30.7681280657005
2025-02-20,Gold,24K  - 1 Tola Gold Rate in Pakistan,Rs. 309000.00
2025-02-20,Gold,24K (10 Gram) Gold Price in Pakistan,Rs. 264922.2
2025-02-20,Gold,24K  Gold  Rate 1 Gram,Rs. 26492.22
2025-02-21,Exchange Rate,USD to PKR,279.238793
2025-02-21,Inflation,CPI Inflation,30.7681280657005
2025-02-21,Gold,24K  - 1 Tola Gold Rate in Pakistan,Rs. 309000.00
